Platform_Count,Platform,Name,NA_Sales,EU_Sales
1,2600,Asteroids,4,0.26
1,2600,Pitfall!,4.21,0.24
1,2600,Pac-Man,7.28,0.45
2,3DS,Mario Kart 7,4.74,3.91
2,3DS,Super Mario 3D Land,4.89,2.99
2,3DS,The Legend of Zelda: Ocarina of Time,2.03,1.27
2,3DS,Nintendogs + cats,1.44,1.37
2,3DS,New Super Mario Bros. 2,3.66,3.07
2,3DS,Animal Crossing: New Leaf,2.01,2.32
2,3DS,Pokemon X/Pokemon Y,5.17,4.05
2,3DS,Tomodachi Life,0.96,2.02
2,3DS,Luigi's Mansion: Dark Moon,1.78,1.39
2,3DS,Monster Hunter 4,0,0
2,3DS,The Legend of Zelda: A Link Between Worlds,1.4,0.99
2,3DS,Pokemon Omega Ruby/Pokemon Alpha Sapphire,4.23,3.37
2,3DS,Super Smash Bros. for Wii U and 3DS,3.24,1.35
2,3DS,Monster Hunter 4 Ultimate,0.67,0.49
2,3DS,Yokai Watch 2 Ganso/Honke,0.03,0
2,3DS,Monster Hunter X,0.25,0.19
2,3DS,Animal Crossing: Happy Home Designer,0.47,1
3,DS,Super Mario 64,5.08,3.11
3,DS,Nintendogs,9.07,11
3,DS,Mario Kart DS,9.81,7.57
3,DS,Brain Age: Train Your Brain in Minutes a Day,4.75,9.26
3,DS,Brain Age 2: More Training in Minutes a Day,3.44,5.36
3,DS,Animal Crossing: Wild World,2.55,3.52
3,DS,Big Brain Academy,1.67,2.78
3,DS,Sonic Rush,1.22,1.57
3,DS,New Super Mario Bros.,11.38,9.23
3,DS,Pokemon Diamond/Pokemon Pearl,6.42,4.52
3,DS,Cooking Mama,3.13,1.94
3,DS,Clubhouse Games,0.59,1.83
3,DS,English Training: Have Fun Improving Your Skills!,0,0.99
3,DS,Personal Trainer: Cooking,0.91,1
3,DS,Mario Party DS,4.46,1.88
3,DS,Professor Layton and the Curious Village,1.22,2.48
3,DS,The Legend of Zelda: Phantom Hourglass,1.9,1.83
3,DS,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1.85,1.2
3,DS,LEGO Star Wars: The Complete Saga,2.89,1.54
3,DS,Professor Layton and the Diabolical Box,0.92,1.78
3,DS,Flash Focus: Vision Training in Minutes a Day,0.87,1.57
3,DS,MySims,1.59,1.61
3,DS,Cooking Mama 2: Dinner With Friends,1.61,1.5
3,DS,Pokémon Platinum Version,2.82,1.78
3,DS,Mario & Sonic at the Olympic Games,1.64,2.48
3,DS,Guitar Hero: On Tour,2.11,1.01
3,DS,Professor Layton and the Unwound Future,0.65,1.61
3,DS,Rhythm Heaven,0.58,0.51
3,DS,Club Penguin: Elite Penguin Force,1.88,0.98
3,DS,LEGO Batman: The Videogame,1.79,1.06
3,DS,Kirby Super Star Ultra,1.57,0.04
3,DS,Pokemon HeartGold/Pokemon SoulSilver,4.4,2.77
3,DS,Dragon Quest IX: Sentinels of the Starry Skies,0.66,0.69
3,DS,Mario & Luigi: Bowser's Inside Story,2.26,0.48
3,DS,Friend Collection,0,0
3,DS,Mario & Sonic at the Olympic Winter Games,1.22,1.66
3,DS,The Legend of Zelda: Spirit Tracks,1.43,0.94
3,DS,Pokemon Black/Pokemon White,5.57,3.28
3,DS,Pokemon Black 2/Pokemon White 2,2.91,1.86
4,GB,Tetris,23.2,2.26
4,GB,Super Mario Land,10.83,2.71
4,GB,Dr. Mario,2.18,0.96
4,GB,F-1 Race,1.73,0.69
4,GB,Super Mario Land 2: 6 Golden Coins,6.16,2.04
4,GB,Kirby's Dream Land,2.71,0.61
